  cust  |  prod  | quant 
--------+--------+-------
 Dan    | Ham    |   825
 Claire | Fish   |    84
 Dan    | Apple  |   973
 Chae   | Jelly  |   756
 Chae   | Ham    |   464
 Mia    | Fish   |    56
 Mia    | Dates  |   523
 Claire | Fish   |   763
 Dan    | Butter |   419
 Sam    | Jelly  |   156
 Wally  | Cherry |   664
 Chae   | Apple  |   567
 Helen  | Butter |   337
 Chae   | Eggs   |   665
 Wally  | Cherry |   738
 Dan    | Dates  |   484
 Chae   | Dates  |   584
 Dan    | Grapes |   966
 Wally  | Ham    |   461
 Helen  | Ham    |   392
 Helen  | Grapes |   545
 Claire | Grapes |   477
 Helen  | Ham    |   826
 Helen  | Cherry |   226
 Emily  | Cherry |   306
 Dan    | Fish   |   184
 Sam    | Ham    |   735
 Sam    | Ice    |   353
 Claire | Jelly  |   200
 Helen  | Ice    |   704
 Wally  | Ham    |   907
 Dan    | Apple  |   261
 Dan    | Eggs   |   129
 Dan    | Apple  |    61
 Claire | Jelly  |   677
 Claire | Butter |   833
 Mia    | Eggs   |   757
 Claire | Jelly  |   821
 Boo    | Dates  |   808
 Dan    | Jelly  |   972
 Sam    | Grapes |   518
 Mia    | Eggs   |   519
 Helen  | Cherry |   220
 Boo    | Ham    |   983
 Chae   | Butter |   347
 Mia    | Jelly  |   628
 Emily  | Ice    |   623
 Sam    | Ham    |   293
 Emily  | Ham    |   916
 Dan    | Ice    |   442
 Claire | Cherry |   961
 Chae   | Butter |   422
 Boo    | Ice    |   642
 Boo    | Dates  |   990
 Emily  | Butter |   400
 Helen  | Ham    |   578
 Chae   | Ham    |   700
 Claire | Cherry |   373
 Claire | Apple  |   328
 Chae   | Ice    |   413
 Sam    | Cherry |   814
 Helen  | Cherry |   981
 Boo    | Fish   |   121
 Mia    | Jelly  |   981
 Sam    | Ham    |    50
 Dan    | Dates  |   457
 Mia    | Jelly  |     3
 Mia    | Fish   |   271
 Chae   | Grapes |    37
 Emily  | Apple  |   662
 Helen  | Ice    |   964
 Chae   | Ice    |   998
 Wally  | Grapes |   414
 Boo    | Apple  |   759
 Sam    | Grapes |   740
 Emily  | Ice    |   487
 Wally  | Cherry |   837
 Emily  | Cherry |   972
 Claire | Cherry |   467
 Dan    | Fish   |   602
 Helen  | Ham    |   695
 Helen  | Dates  |   923
 Sam    | Dates  |   947
 Chae   | Grapes |    69
 Mia    | Butter |   786
 Sam    | Jelly  |   619
 Emily  | Cherry |   909
 Dan    | Fish   |   844
 Emily  | Ham    |   816
 Wally  | Dates  |   643
 Chae   | Fish   |   598
 Mia    | Ham    |   462
 Mia    | Cherry |   644
 Claire | Cherry |   266
 Sam    | Ice    |   913
 Chae   | Apple  |   921
 Sam    | Eggs   |   912
 Dan    | Ham    |   305
 Helen  | Jelly  |   663
 Wally  | Apple  |   553
 Claire | Cherry |   707
 Claire | Ham    |   878
 Boo    | Eggs   |   727
 Mia    | Butter |   826
 Wally  | Butter |   922
 Wally  | Cherry |   319
 Emily  | Cherry |   735
 Helen  | Cherry |   924
 Emily  | Apple  |   596
 Chae   | Butter |   251
 Boo    | Cherry |   314
 Helen  | Eggs   |   753
 Chae   | Grapes |   607
 Boo    | Grapes |   319
 Claire | Apple  |   435
 Wally  | Dates  |   438
 Sam    | Cherry |    15
 Wally  | Ice    |   641
 Wally  | Ham    |   472
 Sam    | Apple  |   916
 Helen  | Fish   |   918
 Helen  | Apple  |   260
 Chae   | Butter |   501
 Dan    | Eggs   |   593
 Claire | Fish   |   964
 Emily  | Fish   |   629
 Wally  | Apple  |   773
 Sam    | Ham    |    55
 Wally  | Ham    |   804
 Boo    | Eggs   |   608
 Mia    | Cherry |   990
 Sam    | Dates  |   289
 Wally  | Dates  |   290
 Mia    | Dates  |   634
 Dan    | Cherry |   487
 Helen  | Butter |    18
 Claire | Apple  |   240
 Sam    | Jelly  |   453
 Boo    | Apple  |   449
 Chae   | Eggs   |   372
 Claire | Jelly  |   777
 Sam    | Cherry |   284
 Dan    | Ice    |   365
 Boo    | Cherry |     2
 Emily  | Dates  |   842
 Claire | Dates  |   127
 Helen  | Eggs   |   827
 Chae   | Butter |   943
 Dan    | Ice    |   708
 Helen  | Butter |    12
 Chae   | Butter |   599
 Dan    | Ham    |   231
 Claire | Dates  |   539
 Wally  | Fish   |   545
 Mia    | Butter |   477
 Chae   | Ham    |   329
 Dan    | Apple  |   380
 Dan    | Butter |   540
 Boo    | Apple  |   692
 Mia    | Jelly  |   924
